,Team,AdjOE,AdjDE,BARTHAG,RECORD,WINS,GAMES,EFG,EFG D.,FT RATE,FT RATE D,TOV%,TOV% D,O REB%,OP OREB%,RAW T,2P %,2P % D.,3P %,3P % D.,BLK %,BLKED %,AST %,OP AST %,3P RATE,3P RATE D,ADJ. T,AVG HGT.,EFF. HGT.,EXP.,YEAR,T,FT%,OP. FT%,PPP OFF.,PPP DEF.,ELITE SOS,AdjEM,Date_zero
0,Le Moyne,90.3541,113.465,0.0679097,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1769,,,,2024,,,,0.0,0.0,0.0,-23.1109,11/06/2023
1,UC Santa Barbara,102.803,102.719,0.502353,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.1751,,,,2024,,,,0.0,0.0,0.0,0.08400000000000318,11/06/2023
2,Arkansas Pine Bluff,95.0933,110.845,0.146457,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0447,,,,2024,,,,0.0,0.0,0.0,-15.7517,11/06/2023
3,Toledo,102.37,106.214,0.39558,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6825,,,,2024,,,,0.0,0.0,0.0,-3.843999999999994,11/06/2023
4,Indiana,107.854,91.9695,0.862027,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5133,,,,2024,,,,0.0,0.0,0.0,15.884500000000003,11/06/2023
5,North Carolina St.,108.288,97.3322,0.773228,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.4821,,,,2024,,,,0.0,0.0,0.0,10.955799999999996,11/06/2023
6,Central Michigan,93.7064,108.038,0.162923,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7252,,,,2024,,,,0.0,0.0,0.0,-14.331599999999995,11/06/2023
7,Brown,98.6029,95.5051,0.590756,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5461,,,,2024,,,,0.0,0.0,0.0,3.0978000000000065,11/06/2023
8,Wright St.,105.697,99.2608,0.673168,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2154,,,,2024,,,,0.0,0.0,0.0,6.4361999999999995,11/06/2023
9,UC Irvine,102.388,94.2929,0.720552,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6521,,,,2024,,,,0.0,0.0,0.0,8.095100000000002,11/06/2023
