,Team,AdjOE,AdjDE,BARTHAG,RECORD,WINS,GAMES,EFG,EFG D.,FT RATE,FT RATE D,TOV%,TOV% D,O REB%,OP OREB%,RAW T,2P %,2P % D.,3P %,3P % D.,BLK %,BLKED %,AST %,OP AST %,3P RATE,3P RATE D,ADJ. T,AVG HGT.,EFF. HGT.,EXP.,YEAR,T,FT%,OP. FT%,PPP OFF.,PPP DEF.,ELITE SOS,AdjEM,Date_zero
10,Furman,104.761,99.7949,0.636114,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5894,,,,2024,,,,0.0,0.0,0.0,4.966099999999997,11/06/2023
11,UAB,104.138,94.3351,0.757116,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8136,,,,2024,,,,0.0,0.0,0.0,9.802900000000008,11/06/2023
12,Tulane,103.855,97.6319,0.670532,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7656,,,,2024,,,,0.0,0.0,0.0,6.223100000000002,11/06/2023
13,FIU,99.3966,101.04,0.452985,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1084,,,,2024,,,,0.0,0.0,0.0,-1.6433999999999997,11/06/2023
14,BYU,107.628,93.3576,0.836958,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7658,,,,2024,,,,0.0,0.0,0.0,14.270399999999995,11/06/2023
15,Illinois Chicago,100.656,104.118,0.404008,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2078,,,,2024,,,,0.0,0.0,0.0,-3.461999999999989,11/06/2023
16,Xavier,104.431,95.1637,0.744337,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.146,,,,2024,,,,0.0,0.0,0.0,9.267299999999992,11/06/2023
17,Charlotte,103.466,102.028,0.540159,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2555,,,,2024,,,,0.0,0.0,0.0,1.4379999999999882,11/06/2023
18,Canisius,96.3756,104.933,0.273227,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.9588,,,,2024,,,,0.0,0.0,0.0,-8.557400000000001,11/06/2023
19,Wake Forest,108.4,97.8487,0.764528,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6748,,,,2024,,,,0.0,0.0,0.0,10.551300000000012,11/06/2023
20,Florida Atlantic,112.152,93.2823,0.892698,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8893,,,,2024,,,,0.0,0.0,0.0,18.869699999999995,11/06/2023
21,Northeastern,98.1861,100.33,0.438203,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3228,,,,2024,,,,0.0,0.0,0.0,-2.143900000000002,11/06/2023
22,Robert Morris,93.798,103.004,0.254134,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6596,,,,2024,,,,0.0,0.0,0.0,-9.206000000000003,11/06/2023
23,Seattle,100.284,94.8641,0.654525,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8112,,,,2024,,,,0.0,0.0,0.0,5.419900000000013,11/06/2023
24,Villanova,112.061,93.2291,0.892426,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.2648,,,,2024,,,,0.0,0.0,0.0,18.831900000000005,11/06/2023
25,Howard,103.468,106.543,0.416585,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.292,,,,2024,,,,0.0,0.0,0.0,-3.075000000000003,11/06/2023
26,Utah St.,102.251,95.7981,0.679097,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7465,,,,2024,,,,0.0,0.0,0.0,6.4529,11/06/2023
27,Marist,96.1697,101.39,0.352528,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.082,,,,2024,,,,0.0,0.0,0.0,-5.220299999999995,11/06/2023
28,Portland St.,100.647,101.256,0.482665,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8461,,,,2024,,,,0.0,0.0,0.0,-0.6089999999999947,11/06/2023
29,Denver,99.8559,108.656,0.274629,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6988,,,,2024,,,,0.0,0.0,0.0,-8.8001,11/06/2023
30,Cal St. Northridge,96.4946,108.572,0.204873,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0739,,,,2024,,,,0.0,0.0,0.0,-12.077399999999997,11/06/2023
31,Maryland,109.436,92.9786,0.866934,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.567,,,,2024,,,,0.0,0.0,0.0,16.457400000000007,11/06/2023
32,Rice,103.917,105.634,0.45304,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8143,,,,2024,,,,0.0,0.0,0.0,-1.7169999999999987,11/06/2023
33,Abilene Christian,100.655,98.4372,0.563707,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8614,,,,2024,,,,0.0,0.0,0.0,2.217799999999997,11/06/2023
34,Rider,100.151,105.283,0.360162,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6856,,,,2024,,,,0.0,0.0,0.0,-5.132000000000005,11/06/2023
35,Boston College,103.66,97.3713,0.672535,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4175,,,,2024,,,,0.0,0.0,0.0,6.2886999999999915,11/06/2023
36,Arizona,112.906,94.0647,0.890865,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.807,,,,2024,,,,0.0,0.0,0.0,18.841300000000004,11/06/2023
37,Penn St.,101.394,100.251,0.53256,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2145,,,,2024,,,,0.0,0.0,0.0,1.1430000000000007,11/06/2023
38,Hawaii,101.316,96.8662,0.626338,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.1936,,,,2024,,,,0.0,0.0,0.0,4.449799999999996,11/06/2023
39,San Diego,100.95,105.679,0.371355,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2627,,,,2024,,,,0.0,0.0,0.0,-4.728999999999999,11/06/2023
40,UC Davis,97.8203,97.4679,0.510374,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5975,,,,2024,,,,0.0,0.0,0.0,0.35240000000000293,11/06/2023
41,LSU,105.92,94.6045,0.785712,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5102,,,,2024,,,,0.0,0.0,0.0,11.3155,11/06/2023
42,Fresno St.,102.692,96.4548,0.672739,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.7487,,,,2024,,,,0.0,0.0,0.0,6.237199999999987,11/06/2023
43,UMKC,92.6447,103.931,0.210493,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.9519,,,,2024,,,,0.0,0.0,0.0,-11.286299999999997,11/06/2023
44,Baylor,112.427,94.1789,0.884604,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.367,,,,2024,,,,0.0,0.0,0.0,18.248100000000008,11/06/2023
45,Oral Roberts,101.026,103.786,0.423131,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.213,,,,2024,,,,0.0,0.0,0.0,-2.760000000000005,11/06/2023
46,Ohio,104.783,100.585,0.615444,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4399,,,,2024,,,,0.0,0.0,0.0,4.1980000000000075,11/06/2023
47,Winthrop,105.223,105.183,0.501099,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5955,,,,2024,,,,0.0,0.0,0.0,0.03999999999999204,11/06/2023
48,Northern Illinois,100.449,104.013,0.40108,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8202,,,,2024,,,,0.0,0.0,0.0,-3.564000000000007,11/06/2023
49,Georgia Tech,105.013,96.0263,0.736676,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8585,,,,2024,,,,0.0,0.0,0.0,8.986699999999999,11/06/2023
50,Kent St.,103.391,96.3809,0.691567,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.1839,,,,2024,,,,0.0,0.0,0.0,7.010100000000008,11/06/2023
51,Marquette,112.008,92.577,0.899444,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6981,,,,2024,,,,0.0,0.0,0.0,19.430999999999997,11/06/2023
52,Weber St.,99.9333,97.5795,0.568101,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6445,,,,2024,,,,0.0,0.0,0.0,2.3538000000000068,11/06/2023
53,Maine,101.629,103.125,0.458092,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8444,,,,2024,,,,0.0,0.0,0.0,-1.4959999999999951,11/06/2023
54,Sam Houston St.,101.132,95.7555,0.652079,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4922,,,,2024,,,,0.0,0.0,0.0,5.376500000000007,11/06/2023
55,Incarnate Word,95.6372,110.451,0.160288,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.1879,,,,2024,,,,0.0,0.0,0.0,-14.813799999999986,11/06/2023
56,St. Francis PA,88.7874,112.255,0.0631459,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6381,,,,2024,,,,0.0,0.0,0.0,-23.46759999999999,11/06/2023
57,SMU,101.719,96.1617,0.656132,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9598,,,,2024,,,,0.0,0.0,0.0,5.557299999999998,11/06/2023
58,Richmond,100.645,99.522,0.532211,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8836,,,,2024,,,,0.0,0.0,0.0,1.1229999999999905,11/06/2023
59,Providence,108.157,94.7629,0.820584,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2073,,,,2024,,,,0.0,0.0,0.0,13.394099999999995,11/06/2023
60,Louisville,104.094,102.593,0.541664,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0924,,,,2024,,,,0.0,0.0,0.0,1.5009999999999906,11/06/2023
61,Davidson,98.1124,100.878,0.420747,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7034,,,,2024,,,,0.0,0.0,0.0,-2.7656000000000063,11/06/2023
62,North Florida,96.1934,109.507,0.183814,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3182,,,,2024,,,,0.0,0.0,0.0,-13.313600000000008,11/06/2023
63,Missouri St.,102.039,98.0431,0.612881,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9282,,,,2024,,,,0.0,0.0,0.0,3.995900000000006,11/06/2023
64,Vanderbilt,106.551,97.0962,0.744333,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9396,,,,2024,,,,0.0,0.0,0.0,9.454800000000006,11/06/2023
65,Utah Tech,94.9479,101.975,0.305522,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9327,,,,2024,,,,0.0,0.0,0.0,-7.02709999999999,11/06/2023
66,Akron,102.664,99.7555,0.581883,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8297,,,,2024,,,,0.0,0.0,0.0,2.9085000000000036,11/06/2023
67,Memphis,109.206,92.6094,0.869402,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0756,,,,2024,,,,0.0,0.0,0.0,16.59660000000001,11/06/2023
68,Central Arkansas,93.3267,108.354,0.152274,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.164,,,,2024,,,,0.0,0.0,0.0,-15.027299999999997,11/06/2023
69,Murray St.,101.642,102.194,0.484441,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4861,,,,2024,,,,0.0,0.0,0.0,-0.5520000000000067,11/06/2023
70,American,100.811,105.835,0.363706,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8823,,,,2024,,,,0.0,0.0,0.0,-5.023999999999987,11/06/2023
71,Notre Dame,101.126,103.964,0.421108,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5664,,,,2024,,,,0.0,0.0,0.0,-2.837999999999994,11/06/2023
72,Creighton,114.0,91.4628,0.926425,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0909,,,,2024,,,,0.0,0.0,0.0,22.5372,11/06/2023
73,Duke,112.264,91.2781,0.915276,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6182,,,,2024,,,,0.0,0.0,0.0,20.9859,11/06/2023
74,Bowling Green,99.1009,108.781,0.255071,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.1226,,,,2024,,,,0.0,0.0,0.0,-9.68010000000001,11/06/2023
75,UCLA,107.668,90.8477,0.875825,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6414,,,,2024,,,,0.0,0.0,0.0,16.820300000000003,11/06/2023
76,Pacific,102.938,102.677,0.507295,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0511,,,,2024,,,,0.0,0.0,0.0,0.2609999999999957,11/06/2023
77,Texas A&M,111.839,91.8147,0.906263,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5676,,,,2024,,,,0.0,0.0,0.0,20.024299999999997,11/06/2023
78,North Texas,99.7041,95.4582,0.622568,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.7705,,,,2024,,,,0.0,0.0,0.0,4.245899999999992,11/06/2023
79,Nevada,106.504,95.2927,0.782311,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4906,,,,2024,,,,0.0,0.0,0.0,11.211300000000008,11/06/2023
80,UTSA,100.142,107.632,0.303754,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2743,,,,2024,,,,0.0,0.0,0.0,-7.490000000000009,11/06/2023
81,Mississippi Valley St.,91.3555,110.019,0.105481,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2608,,,,2024,,,,0.0,0.0,0.0,-18.6635,11/06/2023
82,Gardner Webb,96.7606,96.7556,0.50015,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6441,,,,2024,,,,0.0,0.0,0.0,0.0049999999999954525,11/06/2023
83,Norfolk St.,99.4038,105.41,0.337451,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8359,,,,2024,,,,0.0,0.0,0.0,-6.006199999999993,11/06/2023
84,Chattanooga,99.2136,103.673,0.376216,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.1125,,,,2024,,,,0.0,0.0,0.0,-4.459400000000002,11/06/2023
85,Georgia Southern,96.9773,102.944,0.334773,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.1031,,,,2024,,,,0.0,0.0,0.0,-5.966700000000003,11/06/2023
86,Northern Arizona,100.888,107.584,0.323204,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.2002,,,,2024,,,,0.0,0.0,0.0,-6.695999999999998,11/06/2023
87,Nebraska,108.413,94.396,0.830916,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.2896,,,,2024,,,,0.0,0.0,0.0,14.016999999999996,11/06/2023
88,Yale,102.702,93.4695,0.747104,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.611,,,,2024,,,,0.0,0.0,0.0,9.232500000000002,11/06/2023
89,Tennessee Martin,100.222,106.917,0.32221,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6169,,,,2024,,,,0.0,0.0,0.0,-6.695000000000007,11/06/2023
90,Morehead St.,96.0039,99.3869,0.40173,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.3006,,,,2024,,,,0.0,0.0,0.0,-3.3829999999999956,11/06/2023
91,Tennessee,107.876,86.7796,0.92432,0-0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8089,,,,2024,,,,0.0,0.0,0.0,21.096400000000003,11/06/2023
